Numero CAS;NOM SA;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER
71751-41-2;abamectine;10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
71751-41-2;abamectine;10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
71751-41-2;abamectine;10/07/2012;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
71751-41-2;abamectine;10/07/2012;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion
71751-41-2;abamectine;10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
71751-41-2;abamectine;10/07/2012;Toxicité aiguë (par inhalation), catégorie 1;H330;Mortel par inhalation
57960-19-7;acequinocyl;10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
57960-19-7;acequinocyl;10/07/2012;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
57960-19-7;acequinocyl;10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
57960-19-7;acequinocyl;10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
57960-19-7;acequinocyl;10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes
135410-20-7;acetamiprid;16/02/2022;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion
135410-20-7;acetamiprid;16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus
135410-20-7;acetamiprid;16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Toxicité spécifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, catégorie 3;H335;Peut irriter les voies respiratoires
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques
135158-54-2;Acibenzolar-S-methyl;16/12/2008;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme
64-19-7;acide acetique;16/12/2008;Liquides inflammables, catégorie 3;H226;Liquides et vapeurs inflammables
64-19-7;acide acetique;16/12/2008;Corrosif pour la peau, catégorie 1A;H314;Provoque des brûlures de la peau et des lésions oculaires graves
65-85-0;acide benzoique;05/06/2014;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée
