Numéro CAS;Nom SA;Source;Date;Nom;valeur;Unite;Etude(s) pivot(s) 1;NOAEL de l'Ètude pivot 1;Unité NOAEL étude pivot 1;Etude(s) pivot(s) 2;Facteur de sécurité;F.correction (abs. orale lim.)
71751-41-2 (abamectine);abamectine;UE;08/03/2023;ARFD;0,0012;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;0,12;mg/kg/p.c./j;;100;non nécessaire
71751-41-2 (abamectine);abamectine;UE;08/03/2023;DJA;0,0012;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;0,12;mg/kg p.c./j;;100;non nécessaire
71751-41-2 (abamectine);abamectine;UE;08/03/2023;AAOEL;0,0012;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;0,12;mg/kg/p.c./j;;100;non nécessaire
71751-41-2 (abamectine);abamectine;UE;08/03/2023;AOEL;0,0012;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;0,12;mg/kg/p.c./j;;100;non nécessaire
57960-19-7;acequinocyl;UE;01/09/2014;ARFD;0,08;mg/kg pc;Autre(s) Ètude(s);8;mg/kg p.c./j;Ètude mÈcanistique dose unique, voie orale, rat;100;non nécessaire
57960-19-7;acequinocyl;UE;01/09/2014;DJA;0,023;mg/kg/j;2 ans, voie orale, rat;2,3;mg/kg p.c./j;;100;non nécessaire
57960-19-7;acequinocyl;UE;01/09/2014;AOEL;0,014;mg/kg/j;1 an, voie orale, chien;5;mg/kg p.c./j;2 gÈnÈrations, voie orale, rat;100;28%
135410-20-7;acetamiprid;UE;01/03/2018;DJA;0,025;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;2,5;mg/kg p.c./j;;100;non nécessaire
135410-20-7;acetamiprid;UE;01/03/2018;ARFD;0,025;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;2,5;mg/kg p.c./j;;100;non nécessaire
135410-20-7;acetamiprid;UE;01/03/2018;AAOEL;0,025;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;2,5;mg/kg/p.c./j;;100;non nécessaire
135410-20-7;acetamiprid;UE;01/03/2018;AOEL;0,025;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;2,5;mg/kg p.c./j;;100;non nécessaire
135158-54-2;Acibenzolar-S-methyl;UE;01/04/2016;AOEL;0,03;mg/kg/j;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;300;non nécessaire
135158-54-2;Acibenzolar-S-methyl;UE;01/04/2016;DJA;0,03;mg/kg/j;TÈratogenËse, voie orale, rat;10;mg/kg p.c./j;;300;non nécessaire
135158-54-2;Acibenzolar-S-methyl;UE;01/04/2016;ARFD;0,03;mg/kg pc;TÈratogenËse, voie orale, rat;10;mg/kg/p.c./j;;300;non nécessaire
64-19-7;acide acetique;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
64-19-7;acide acetique;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
64-19-7;acide acetique;UE;01/09/2009;AOEC;1;mg/m3;Autre(s) Ètude(s);10;mg/m3;Ètude par inhalation chez le volontaire humain sain;10;non nécessaire
65-85-0;acide benzoique;UE;01/09/2017;AOEL;5;mg/kg/j;Autre(s) Ètude(s);500;mg/kg p.c./j;Ètudes ‡ court et ‡ long terme;100;non nécessaire
65-85-0;acide benzoique;UE;01/09/2017;DJA;5;mg/kg/j;Autre(s) Ètude(s);500;mg/kg p.c./j;Ètudes ‡ court et ‡ long terme;100;non nécessaire
65-85-0;acide benzoique;UE;01/09/2017;ARFD;non pertinent;;;;;;;non nécessaire
65-85-0;acide benzoique;UE;01/09/2017;AAOEL;non pertinent;;;;;;;non nécessaire
77-06-5;acide gibbÈrellique;UE;01/09/2009;AOEL;0,68;mg/kg/j;90 jours, voie orale, rat;680;mg/kg/p.c./j;;1000;non nécessaire
77-06-5;acide gibbÈrellique;UE;01/09/2009;DJA;0,68;mg/kg/j;90 jours, voie orale, rat;680;mg/kg/p.c./j;;1000;non nécessaire
77-06-5;acide gibbÈrellique;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";acide gras en C7-C18;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";acide gras en C7-C18;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
"67701-09-1;334-48-5;124-07-2;143-07-7;112-80-1";acide gras en C7-C18;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
133-32-4;acide indolyl butyrique;UE;01/06/2011;ARFD;non fixÈe par manque de donnÈes;;;;;;;non nécessaire
133-32-4;acide indolyl butyrique;UE;01/06/2011;AOEL;0,025;mg/kg/j;TÈratogenËse, voie orale, lapin;25;mg/kg/p.c./j;;1000;non nécessaire
133-32-4;acide indolyl butyrique;UE;01/06/2011;DJA;non fixÈe par manque de donnÈes;;;;;;;non nécessaire
112-05-0;acide pelargonique;UE;01/09/2009;ARFD;non pertinent;;;;;;;non nécessaire
112-05-0;acide pelargonique;UE;01/09/2009;AOEL;non pertinent;;;;;;;non nécessaire
112-05-0;acide pelargonique;UE;01/09/2009;DJA;non pertinent;;;;;;;non nécessaire
86-87-3;acide 1-naphthylacetique;UE;01/01/2012;AOEL;0,07;mg/kg/j;TÈratogenËse, voie orale, rat;15;mg/kg/p.c./j;" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;70%
86-87-3;acide 1-naphthylacetique;UE;01/01/2012;DJA;0,1;mg/kg/j;TÈratogenËse, voie orale, rat;15;mg/kg/p.c./j;" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;non nécessaire
86-87-3;acide 1-naphthylacetique;UE;01/01/2012;ARFD;0,1;mg/kg pc;TÈratogenËse, voie orale, rat;15;mg/kg/p.c./j;" 1 an, voie orale, chien ; 90 jours, voie orale, rat";150;non nécessaire
74070-46-5;aclonifen;UE;15/12/2008;AOEL;0,07;mg/kg/j;2 ans, voie orale, rat;7;mg/kg p.c./j;"multugÈnÈrations, voie orale, rat ; Ètudes subchroniques, rat";100;non nécessaire
74070-46-5;aclonifen;UE;15/12/2008;ARFD;non pertinent;;;;;;;non nécessaire
74070-46-5;aclonifen;UE;15/12/2008;DJA;0,07;mg/kg/j;2 ans, voie orale, rat;7;mg/kg/p.c./j;"multugÈnÈrations, voie orale, rat ; 18 mois, voie orale, souris";100;non nécessaire
67375-30-8;Alpha-cypermethrine;UE;01/11/2019;AOEL;0,0005;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;0,25;mg/kg p.c./j;;200;40%
67375-30-8;Alpha-cypermethrine;UE;01/11/2019;DJA;0,00125;mg/kg/j;NeurotoxicitÈ du dÈveloppement, rat;0,25;mg/kg p.c./j;;200;non nécessaire
67375-30-8;Alpha-cypermethrine;UE;01/11/2019;AAOEL;0,0005;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;0,25;mg/kg/p.c./j;;200;40%
67375-30-8;Alpha-cypermethrine;UE;01/11/2019;ARFD;0,00125;mg/kg pc;NeurotoxicitÈ du dÈveloppement, rat;0,25;mg/kg p.c./j;;200;non nécessaire
865318-97-4;amÈtoctradine;UE;01/08/2013;ARFD;non pertinent;;;;;;;non nécessaire
