Numero CAS;NOM SA;CLASSEMENT RÉFÉRENCE;CLASSEMENT DATE;CLASSEMENT CATÉGORIE DANGER;CLASSEMENT CODE H;CLASSEMENT MENTION DANGER;FACTEUR M VALEUR;FACTEUR M ORIGINE;FACTEUR M DATE
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;10000;UE;05/06/2023
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 1;H372;Risque avéré d'effet graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité aiguë (par voie orale), catégorie 2;H300;Mortel en cas d'ingestion;;;
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;10000;UE;05/06/2023
71751-41-2 (abamectine);abamectine;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité aiguë (par inhalation), catégorie 1;H330;Mortel par inhalation;;;
57960-19-7;acequinocyl;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger chronique, catégorie 1;H410;Très toxique pour les organismes aquatiques, entraine des effets néfastes à long terme;1000;ANSES;19/08/2014
57960-19-7;acequinocyl;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
57960-19-7;acequinocyl;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Dangers pour le milieu aquatique - Danger aigu, catégorie 1;H400;Très toxique pour les organismes aquatiques;1000;ANSES;19/08/2014
57960-19-7;acequinocyl;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition répétée, catégorie 2;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;;;
57960-19-7;acequinocyl;Règlement (UE) N°618/2012 (3e ATP au Règlement 1272/2008);10/07/2012;Toxicité spécifique pour certains organes cibles - Exposition unique, catégorie 1;H370;Risque avéré d'effets graves pour les organes;;;
135410-20-7;acetamiprid;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité aiguë (par voie orale), catégorie 3;H301;Toxique en cas d'ingestion;;;
135410-20-7;acetamiprid;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Toxicité pour la reproduction, catégorie 2(d);H361d;Susceptible de nuire au foetus;;;
135410-20-7;acetamiprid;Règlement (UE) N°2022-692 (18e ATP au Règlement 1272/2008);16/02/2022;Dangers pour le milieu aquatique - Danger chronique, catégorie 3;H412;Nocif pour les organismes aquatiques, entraine des effets néfastes à long terme;;UE;
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Irritation oculaire, catégorie 2;H319;Provoque une sévère irritation des yeux;;;
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Sensibilisation cutanée, catégorie 1;H317;Peut provoquer une allergie cutanée;;;
135158-54-2;Acibenzolar-S-methyl;Règlement (CE) N°1272/2008 (ATP 0);16/12/2008;Irritant pour la peau, catégorie 2;H315;Provoque une irritation cutanée;;;
