CAS;Max_WF;category;function
100-42-5;0.01;BODY WASH;Perfumes
100-51-6;0.01;HAIR CONDITIONING TREATMENT;Solvents
100-51-6;0.01;HAIR STYLING, GEL;Solvents
100-51-6;0.05;SHAMPOO;Solvents
100-51-6;0.1;SUNSCREEN;Solvents
100-51-6;0.1;SUNSCREEN;Solvents
100-51-6;0.1;SUNSCREEN;Solvents
100-51-6;0.1;SUNSCREEN, SPRAY;Solvents
100-51-6;0.01;MASCARA;Solvents
100-51-6;0.001;NAIL PRODUCTS, OTHER;Solvents
100-51-6;0.03;LICE SHAMPOO;Solvents
100-51-6;0.03;LICE SHAMPOO;Solvents
100-51-6;0.03;LICE SHAMPOO;Solvents
100-51-6;0.03;LICE SHAMPOO;Solvents
100-51-6;0.005;HAND/BODY LOTION;Solvents
100-51-6;0.01;SUNSCREEN;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.005;SHAMPOO, DANDRUFF;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER, LEAVE-IN;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.05;SUNSCREEN;Solvents
100-51-6;0.05;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.05;SUNSCREEN;Solvents
100-51-6;0.05;SUNSCREEN;Solvents
100-51-6;0.01;HAIR COLOR;Solvents
100-51-6;0.01;HAIR COLOR;Solvents
100-51-6;0.01;HAIR COLOR;Solvents
100-51-6;0.005;EYE CREAM;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;HAND/BODY LOTION;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;EYE CREAM;Solvents
100-51-6;0.01;EYE CREAM;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;FACE CREAM/MOISTURIZER;Solvents
100-51-6;0.01;AFTERSHAVE;Solvents
100-51-6;0.01;AFTERSHAVE;Solvents
100-51-6;0.05;FRAGRANCE;Solvents
100-51-6;0.05;FRAGRANCE;Solvents
100-51-6;0.05;FRAGRANCE, SPRAY;Solvents
100-51-6;0.01;HAIR CONDITIONING TREATMENT;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONING TREATMENT;Solvents
100-51-6;0.001;FRAGRANCE;Solvents
100-51-6;0.001;FRAGRANCE;Solvents
100-51-6;0.05;HAIR COLOR;Solvents
100-51-6;0.05;HAIR COLOR;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAND SOAP;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.01;HAIR CONDITIONER;Solvents
100-51-6;0.015;HAIR COLOR;Solvents
100-51-6;0.07;EYE CREAM;Solvents
100-52-7;0.01;HAIR BLEACH;Solvents
100-52-7;0.001;HAIR STYLING;Solvents
100403-19-8;0.05;EYE CREAM;Skin Protectants
100403-19-8;0.01;HAIR STYLING;Skin Protectants
100418-33-5;0.01;HAIR BLEACH;Hair Dyeing Agents
100418-33-5;0.01;HAIR COLOR, PROFESSIONAL;Hair Dyeing Agents
10043-11-5;0.002;FACE POWDER;Skin Conditioners
10043-11-5;0.002;FACE POWDER;Skin Conditioners
10043-11-5;0.002;EYE SHADOW;Skin Conditioners
10043-11-5;0.01;FOUNDATION/CONCEALER;Skin Conditioners
10043-11-5;0.01;FOUNDATION/CONCEALER;Skin Conditioners
10043-11-5;0.01;FOUNDATION/CONCEALER;Skin Conditioners
10043-35-3;0.02;EYE DROPS;Buffering Agents
10043-35-3;0.02;EYE DROPS;Buffering Agents
10043-35-3;0.02;EYE DROPS;Buffering Agents
10043-35-3;0.01;EYE DROPS;Buffering Agents
10043-35-3;0.01;EYE DROPS;Buffering Agents
10043-35-3;0.01;EYE DROPS;Buffering Agents
10043-35-3;0.009;CONTACT CARE;Buffering Agents
